-1000,0
1000,1
2000,1
3000,1
4000,1
5000,1
6000,1
7000,1
8000,1
9000,1
10000,1
11000,1
12000,1
13000,1
14000,1
15000,1
16000,1
17000,1
18000,1
19000,1
20000,1
21000,1
22000,1
23000,1
24000,1
25000,1
26000,1
27000,1
28000,1
29000,1
30000,1
31000,1
32000,1
33000,1
34000,1
35000,1
36000,1
37000,1
38000,1
39000,1
40000,1
41000,1
42000,1
43000,1
44000,1
45000,1
46000,1
47000,1
48000,1
49000,1
50000,1
51000,1
52000,1
53000,1
54000,1
55000,1
56000,1
57000,1
58000,1
59000,1
60000,1
61000,1
62000,1
63000,1
64000,1
65000,1
66000,1
67000,1
68000,1
69000,1
70000,1
71000,1
72000,1
73000,1
74000,1
75000,1
76000,1
77000,1
78000,1
79000,0.933333
80000,0.933333
81000,0.933333
82000,0.933333
83000,0.933333
84000,1
85000,1
86000,1
87000,1
88000,1
89000,1
90000,1
91000,1
92000,1
93000,1
94000,1
95000,1
96000,1
97000,1
98000,1
99000,1
100000,1
101000,1
102000,1
103000,1
104000,1
105000,1
106000,1
107000,1
108000,1
109000,1
110000,1
111000,1
112000,1
113000,1
114000,1
115000,1
116000,1
117000,1
118000,1
119000,1
120000,1
121000,1
122000,1
123000,1
124000,1
125000,1
126000,1
127000,1
128000,1
129000,1
130000,1
131000,1
132000,1
133000,1
134000,1
135000,1
136000,1
137000,1
138000,1
139000,1
140000,1
141000,1
142000,1
143000,1
144000,1
145000,1
146000,1
147000,1
148000,1
149000,1
150000,1
151000,1
152000,1
153000,1
154000,1
155000,1
156000,1
157000,1
158000,1
159000,1
160000,1
161000,1
162000,1
163000,1
164000,1
165000,1
166000,1
167000,1
168000,1
169000,1
170000,1
171000,1
172000,1
173000,1
174000,1
175000,1
176000,1
177000,1
178000,1
179000,1
180000,0.933333
181000,1
182000,1
183000,1
184000,1
185000,1
186000,1
187000,1
188000,1
189000,1
190000,1
191000,1
192000,1
193000,1
194000,1
195000,1
196000,1
197000,1
198000,1
199000,1
200000,1
201000,1
202000,1
203000,1
204000,1
205000,1
206000,1
207000,1
208000,1
209000,1
210000,1
211000,1
212000,1
213000,1
